Item ID,Quotation ID,DO ID
60b8b6f3,a596491e,7148dc6c
006dc09c,a596491e,7148dc6c
71c78d07,a596491e,7148dc6c
3ffb14b8,cdab0f97,cc721fbc
2f7c0be6,cdab0f97,
8f3602eb,a81bc619,
eccfc9cb,a81bc619,
8daed9b2,a81bc619,
0cfab2c0,a81bc619,
072c73a0,a81bc619,
a880926c,9dd3b9de,
afa5b1c0,a596491e,7563ee71
5f605533,7d3a33d5,
fd9c926e,7d3a33d5,
b3d0870b,4fc843f3,bc703612
2cfbc2e8,4fc843f3,4d2c19df
99e6c303,be4c4f68,5b8c59e7
54702efb,be4c4f68,5b8c59e7
2ff31bd3,be4c4f68,5b8c59e7
749c76e4,be4c4f68,5b8c59e7
8337f3fb,be4c4f68,2c093006
d0d33a3e,be4c4f68,f6621ced
08d91265,be4c4f68,5b8c59e7
02ca6378,be4c4f68,2c093006
3f8a1568,4fc843f3,bc703612
62913d89,4fc843f3,bc703612
d886d5a8,4fc843f3,bc703612
a59fe00d,4fc843f3,4d2c19df
1a6d8469,4fc843f3,4d2c19df
c8d20297,4fc843f3,4d2c19df
d57675a0,4fc843f3,4d2c19df
cc59460a,4fc843f3,4d2c19df
d4136f5c,4fc843f3,4d2c19df
993ff64a,18b4fd12,66699787
ee94d017,18b4fd12,b6626008
8d7b0167,4fc843f3,4d2c19df
cde31ea6,be4c4f68,5b8c59e7
4963515c,81a39130,d02aa660
44420fa3,81a39130,d02aa660
9680d475,81a39130,d02aa660
be0f173a,81a39130,d02aa660
89576adf,81a39130,d02aa660
6783648d,81a39130,d02aa660
f28a9e63,81a39130,d02aa660
cb4a6f58,81a39130,9ba8aa3f
cd3a56f2,81a39130,9ba8aa3f
71cfc92b,81a39130,9ba8aa3f
afbbf76f,81a39130,9ba8aa3f
0fce4033,81a39130,9ba8aa3f
673def78,81a39130,9ba8aa3f
fcd420db,81a39130,9ba8aa3f
d69a686a,81a39130,9ba8aa3f
02df5d9b,81a39130,9ba8aa3f
5340777f,b60d45be,
63b822b4,b60d45be,
f0459e04,b60d45be,
b874b4c6,81a39130,d02aa660
17ed5ec1,743cffdf,
76522499,81a39130,d02aa660
76c13021,81a39130,d02aa660
e322c1c8,81a39130,d02aa660
a68fcb75,dd03ed62,d69f3f8e
7303a2a0,81a39130,d02aa660
3137f356,81a39130,d02aa660
50ac11cb,81a39130,d02aa660
a5ee4c7b,dd8017be,85d2fc06
6331e56d,dd8017be,85d2fc06
cb1ddac0,dd03ed62,d69f3f8e
1ae0aee2,dd03ed62,d69f3f8e
69a79aab,45ee9da8,
bedabf19,e5bb55b7,9e55f7e8
766be344,f3e3e096,9d94d392
9638dd4f,f3e3e096,9a63fb24
00024a32,93248353,2b47a93a
440204b6,5788644b,
f2ceea99,5788644b,
e7863cee,f54c33a3,ff48499a
bb5508b7,f54c33a3,a28004e2
bb9429b8,f54c33a3,a28004e2
818b30f4,c54446f0,9aeaa93d
8523d2f2,c54446f0,b08d6c99
27086b2d,81a39130,d02aa660
dd01f698,8dc4b3cf,1fb35711
96fd5d0e,8dc4b3cf,561d9b5f
f71a637f,8dc4b3cf,561d9b5f
754a47d7,7e82d0bc,
939e0e04,67f30b6f,08a4d77a
4025e4a7,67f30b6f,4467ddfe
e37996d3,67f30b6f,4467ddfe
1d3a1e89,67f30b6f,41bf86f3
870ce867,67f30b6f,41bf86f3
5fc03c8d,4f88ba83,852aec3c
8051f2d2,9c267672,
330dd00f,d3e13a45,
5340748d,bc37e12b,ec8995f6
77da1f7b,cc700de6,d74e7b45
ec402710,cc700de6,2ffbd7eb
283f4736,cc700de6,6fea562a
5fa540d9,cc700de6,2ffbd7eb
a2df9c88,cc700de6,2ffbd7eb
455a9ffd,cc700de6,2ffbd7eb
fe758338,cc700de6,6fea562a
1ff88761,bbcd1908,
e0eaea6c,cc700de6,6fea562a
f7e88414,cc700de6,3547b46d
660f623e,cc700de6,3547b46d
48a79be3,cc700de6,6fea562a
3aae64d3,cc700de6,6fea562a
f0275477,cc700de6,6fea562a
f514313f,cc700de6,6fea562a
db66e08d,cc700de6,6fea562a
f94ecdbd,cc700de6,6fea562a
df247cd0,cc700de6,6fea562a
3bb9b630,cc700de6,2ffbd7eb
49abf06a,cc700de6,6fea562a
ea582064,cc700de6,6fea562a
c921298e,cc700de6,6fea562a
5591936c,cc700de6,6fea562a
203a85c2,cc700de6,6fea562a
84cf66db,cc700de6,6fea562a
1eb98af0,cc700de6,
810744d1,cc700de6,6fea562a
6ecc2495,0d1680f3,
4b821cfe,7506fc40,643d59ab
048c6e11,90fc6023,3207b175
6f6373cf,da892ca6,1f6ff5e5
70113971,cc700de6,6fea562a
75dc4eda,c8fbd78b,
ece206f4,a5da98ea,
775f2730,a5da98ea,
149253ea,a5da98ea,
554cab57,a5da98ea,
d3b94093,41946148,74787c1c
14b9a5a7,41946148,74787c1c
76a24d34,41946148,d1daa62f
425307a7,41946148,74787c1c
896bb941,a1cb2249,e1716d21
a221e184,a1cb2249,e1716d21
84c3b570,6c0abc88,fc8afa18
38614191,6c0abc88,fc8afa18
84186006,6c0abc88,fc8afa18
82afd0d8,6c0abc88,fc8afa18
8294efee,5788644b,
7f753ce7,5788644b,
bbaca20f,5788644b,
a7966c7c,75c7fea9,6936a210
c93e93c1,45b7a940,88435bd7
942138a9,f7f2fe7d,
3700638d,923d287d,a742370b
7beede60,187508ca,
99e5c5fc,187508ca,
3c00f446,81a39130,86343805
b94616e6,9aaa13e0,764c2ce9
ac0e9662,9aaa13e0,764c2ce9
447538ac,9aaa13e0,764c2ce9
21b853f8,9aaa13e0,5e270b3b
6d676942,1eaaa6d4,95dee461
9f524f7f,f0b6c447,84bf286f
ffb6e0cb,f0b6c447,84bf286f
d040cd71,f0b6c447,84bf286f
0b61aa56,f76fe1b2,
f7791af4,40c911f2,
23966286,40c911f2,
eca86847,802e8ad0,124444cf
72acb79b,802e8ad0,b9ce7ad2
7d702b19,c7d5bc69,
8b0c8053,c7d5bc69,
92868eef,7411bf1a,
422c4fca,e4e54454,
3bfe7031,e4e54454,
65c3db0a,ad9cd5d2,
74a781c5,314a2760,455c34ac
a576a555,314a2760,455c34ac
5869d9db,732b0bce,
7f306750,688f4e1e,4cb865ef
ff684a59,688f4e1e,4cb865ef
34dd5489,688f4e1e,4cb865ef
e09b6f0d,ad9cd5d2,
d7593c0e,6f62aa6d,
2a79bb48,ddac54e2,da612a64
27880a56,479fe2a7,
50065a54,3f03c3e9,ea44e235
d8a351e2,3f03c3e9,ea44e235
3f2bdaa8,beff7176,
209958b5,cc700de6,
e24b3a01,f464434d,
26beccd3,97109468,
bfc3d69a,cc7515d9,
ef66df34,cc700de6,c52e7a89
53416e6a,cc700de6,c52e7a89
8e27cd7e,cc700de6,c52e7a89
d8ca7a32,2549b12e,
e30d1ec2,2549b12e,
2b32ac64,43b5cac0,c4a1d663
57367152,43b5cac0,c4a1d663
bd414324,43b5cac0,c4a1d663
a5302fa2,43b5cac0,c4a1d663
3876c680,43b5cac0,c4a1d663
5108247f,43b5cac0,c4a1d663
fc57afbb,43b5cac0,c4a1d663
9e3498f8,43b5cac0,c4a1d663
89d5d3f7,43b5cac0,c4a1d663
9dc1c991,1aaa3cfa,d05df5ee
d9ecb032,1aaa3cfa,d05df5ee
e994840a,14ad02a9,4358d8e0
04b22dc0,397e3f60,
21e2a109,be2e313d,
5065d2c4,adcba6b6,
fe3ce7ed,ef679a3c,a0ae1745
0e6161c9,ef679a3c,4f64ad25
9120e3e9,ef679a3c,a0ae1745
8aebc033,ef679a3c,a0ae1745
1e2cda56,ef679a3c,a0ae1745
55524c47,23a12a7a,1ee23818
3deb37aa,ef679a3c,4f64ad25
eb1ce54f,ef0903be,3b29947f
9a043249,ef0903be,3b29947f
bee76fd0,ef679a3c,4f64ad25
dbfb9705,ef679a3c,4f64ad25
beb16bed,ef0903be,3b29947f
50b19a61,ef679a3c,4f64ad25
c52fd222,ef679a3c,a0ae1745
2fbf871e,ef679a3c,4f64ad25
42e5db9e,ef679a3c,4f64ad25
55a91d34,ef679a3c,4f64ad25
1e95ccd3,ef679a3c,
aab6bad5,76c9552f,
743a93e5,ef679a3c,a0ae1745
74d090c3,8c68c145,
2b137044,4e353f89,86478c56
dba88373,4e353f89,86478c56
7dc32458,4e353f89,86478c56
76ed193c,4e353f89,
32444eb8,4e353f89,86478c56
616381b3,0bc787a2,e17271a3
48979662,4e353f89,86478c56
a1939912,4e353f89,86478c56
0a9d04ee,4e353f89,
2b5595f5,1841d980,
c5c33cd6,1841d980,
c12fd2b0,1841d980,
2c2d4108,9531b2dc,
07642a4d,7fcddd93,d90922a2
68243852,efa68a08,
2f861518,efa68a08,
df9472a3,166255f5,
68b259b3,166255f5,
d43a4742,166255f5,
b83a2b9d,5f3cab5d,ef4f9379
4196bf69,5f3cab5d,b9e0239d
99c8e265,ddac54e2,da612a64
8e5e9cee,ddac54e2,da612a64
2351bd0f,e5bb55b7,9e55f7e8
ed05cfcb,d828a758,
37ae32be,587c57bd,
2831254b,7a38d6a4,704b5d2f
95d60d73,21a5ccbc,
7be8d950,fab20b48,
91ceb4fd,848ac38b,
80c3e0ff,848ac38b,
02529cbe,848ac38b,
afaa6043,848ac38b,
c375a320,848ac38b,
73302cc1,848ac38b,
23515818,848ac38b,
215fc2ea,bfeec30a,
f27c7941,db824c7a,
fe80ea90,edbc8c05,439fc33a
e027b692,edbc8c05,
58f09d29,edbc8c05,2dd97d4d
be022ad3,edbc8c05,439fc33a
a0df9123,edbc8c05,2dd97d4d
87aa08b8,edbc8c05,2dd97d4d
060063f6,edbc8c05,439fc33a
01fe5c21,edbc8c05,439fc33a
220576a9,edbc8c05,439fc33a
4c6360fc,1deb8ed6,
91f364e0,1deb8ed6,
ffa7c896,edbc8c05,439fc33a
eadd351e,1deb8ed6,
86c1da04,1deb8ed6,
ba6ac7dd,edbc8c05,439fc33a
7a77d01c,edbc8c05,8786d484
71d8c000,1deb8ed6,
a051658a,1deb8ed6,
40649766,edbc8c05,82ff7f33
4164df10,edbc8c05,439fc33a
b125ba62,edbc8c05,439fc33a
ddb5077f,edbc8c05,439fc33a
91deaddd,edbc8c05,439fc33a
880e8aa2,1deb8ed6,
d5c4ca43,1deb8ed6,
b568db85,1deb8ed6,
3d111f60,1deb8ed6,
1692a462,1deb8ed6,
bcff263e,edbc8c05,f9741ad1
f79ffa45,edbc8c05,439fc33a
4dec9a67,edbc8c05,2dd97d4d
f5e6d6b5,0010cc5a,e7bd2443
79e0669a,9ededc84,c8cd2ad5
f70f9a57,9ededc84,c8cd2ad5
ccb42bd5,9ededc84,3704b18d
fe1b5020,9ededc84,5dfbd60e
b9d7bd69,fcc95eb8,
f840d8fc,a712ef39,de1fb1a4
a4fc501d,a712ef39,de1fb1a4
48609a1e,a712ef39,de1fb1a4
479c3174,2be0bc70,77dc95fa
d74a9bdc,435e8c0c,
438687a6,df46bd7f,
8e12aa6f,df46bd7f,
39312a56,df46bd7f,
fe1e854f,4f6056ba,d0134f13
131d4f3c,516ea7e5,02ca5472
b85e365e,46b38705,140a7260
b31783cf,18d9c25e,97149bd1
b75e2e9d,18d9c25e,97149bd1
5a5cb472,765b4efb,d7305bf6
53dbc817,765b4efb,d7305bf6
1a5ef80d,765b4efb,d7305bf6
806068b0,765b4efb,d7305bf6
f6fe12cd,166255f5,
295c96f6,765b4efb,d7305bf6
8aa539ab,166255f5,
e9b84bcb,765b4efb,d7305bf6
8fbd7ac0,b92c4600,68e195c7
3042f5ac,b92c4600,b502094b
616f402e,7b365376,d799aa20
2e54af28,7b365376,d799aa20
3353d35b,7b365376,d799aa20
686bdf89,7b365376,d799aa20
70520d67,7b365376,80211401
d760e850,7b365376,d799aa20
0089ce46,7b365376,d799aa20
30e49e87,7b365376,d799aa20
1e1bfaf6,7b365376,d799aa20
21bd52fc,7b365376,d799aa20
4db78f46,7b365376,d799aa20
eb14aeb3,7b365376,80211401
e2ba749c,7b365376,80211401
87b84510,7b365376,80211401
d0e11513,7b365376,80211401
1b2dad01,7b365376,d799aa20
0b62255f,7b365376,80211401
0773c4f8,7b365376,80211401
efdd285c,7b365376,d799aa20
278122ac,7b365376,d799aa20
92a7729d,7b365376,d799aa20
72e734d7,7b365376,d799aa20
5020ae8f,f6fbfce0,
5091922c,f6fbfce0,
d3b94bd5,f6fbfce0,
6a5a780d,f6fbfce0,
20981733,f6fbfce0,
71472aa2,f6fbfce0,
359e937d,18d9c25e,97149bd1
fda217b1,a712ef39,de1fb1a4
4b317bd8,a712ef39,de1fb1a4
4059698a,96f0cd34,bf2c13c7
e32d477c,a247836c,
a5ded35f,a247836c,
460c2212,909600ac,b2b29c2b
e6fe407e,909600ac,b2b29c2b
24c38c62,909600ac,b2b29c2b
b9c3e3bd,909600ac,b2b29c2b
425ee917,909600ac,b2b29c2b
3a11bd43,909600ac,b2b29c2b
bfb503b8,909600ac,dfd51100
2783a357,909600ac,b2b29c2b
b46668ed,909600ac,b2b29c2b
70e3be63,909600ac,b2b29c2b
b1cf7ee3,909600ac,b2b29c2b
01d38dcc,909600ac,dfd51100
cb3ae92a,9fdf1883,
1cbf3a9b,2d90ce86,bcaf29e8
ce6b5ca8,2d90ce86,a4e836b8
9984a9b2,2d90ce86,efd8731d
e303331c,2d90ce86,efd8731d
6c048c97,2d90ce86,efd8731d
11c4d38a,2d90ce86,efd8731d
8e9fc96e,2d90ce86,efd8731d
bf4fd594,2d90ce86,efd8731d
58ae89fd,2d90ce86,280d1c66
4e7f4e2a,2d90ce86,efd8731d
8ee9128a,2d90ce86,efd8731d
3c2566d6,2d90ce86,280d1c66
56af5f45,2d90ce86,280d1c66
ced4a362,3c499c11,8356eff2
9d9c1b2e,3c499c11,db109faa
934562b6,3c499c11,e0a9ad28
9350103b,3c499c11,e0a9ad28
6e247b33,3c499c11,53c9ed4a
0d3c00ad,8928f462,bd903638
c9261909,35f50e8e,
6e590cbd,35f50e8e,
33864714,35f50e8e,
ec03b3c7,35f50e8e,
7d2e5d24,35f50e8e,
336d8963,35f50e8e,
eef138df,35f50e8e,
654dac70,35f50e8e,
c9777967,35f50e8e,
916c3019,35f50e8e,
5717067e,35f50e8e,
355c650d,35f50e8e,
ca33cd03,35f50e8e,
2feac6df,3297daf1,
7b79333c,383de1ac,
aa4c78d0,b425abd1,
fb58e2a5,4c193f93,
7153349a,c43bbd41,d5a77c25
d44bc956,d0ccd26f,f2e13335
3bede1fe,d0ccd26f,f2e13335
f72df202,7b9d8c0e,
9c2c6bb1,1b10f1e6,ea14aed2
94127395,1b10f1e6,17fc4bef
d8ed9ccc,1b10f1e6,242a5cc9
6f8a1bf7,1b10f1e6,467f6bd2
307fc41c,1b10f1e6,242a5cc9
5a8ff47e,1b10f1e6,242a5cc9
211f8dde,1b10f1e6,242a5cc9
186236a1,1b10f1e6,62ae0f22
cff65422,1b10f1e6,242a5cc9
1f43a258,bc37e12b,ec8995f6
3c7360d6,709ce933,
f1f1039a,709ce933,
0baca221,709ce933,
43a9ebd5,709ce933,
38b8e08b,709ce933,
a4967f0b,709ce933,
db6bb7d2,709ce933,
069cfc63,709ce933,
6d8232ad,709ce933,
7b87d511,709ce933,
f8fea976,709ce933,
9d55cac6,709ce933,
e7284fea,709ce933,
bd1f76b5,a052ad9b,
cb0bddf7,d7769d6e,7410cbe8
53373359,1b10f1e6,ea14aed2
28563831,1b10f1e6,bf10c559
8c28cb33,1b10f1e6,242a5cc9
8f14f753,f9771ae1,
f0378499,3490e4e9,
d4383e63,3490e4e9,
4fddb61e,3490e4e9,
e1dc753a,3490e4e9,
8e781d0c,650b2a00,
9fde0291,3490e4e9,
c663c222,3490e4e9,
7682ec73,3671a9bf,15ef8671
2c9ba445,3671a9bf,15ef8671
4b0fe084,3671a9bf,15ef8671
c288e5c7,9227f120,2e07b353
7cff3666,9a68c471,1eb06a36
dfcba639,6dd5f6b8,acdc0ce1
ad578efb,6dd5f6b8,acdc0ce1
40070a96,834ac869,
db0401aa,834ac869,
435f14ee,6ddd14ad,
1dc4aa3a,064c3375,
763125d4,f605e888,
628b9c74,f605e888,
af1fb277,14123338,09c7bd1d
c836ab12,14123338,09c7bd1d
57c1109d,df5cbe27,
358cb8f9,df5cbe27,
29939412,9eff2395,31933c5e
006efc7b,9eff2395,31933c5e
12b33741,84571b69,dd68e105
74c196e4,84571b69,7d394652
c6073768,d7769d6e,46347169
0c76c1ac,84571b69,7d394652
69e8531b,d7769d6e,74b73311
0aa0908e,d7769d6e,74b73311
ca1b4a52,6c7a35b1,
48e1b128,84571b69,
6b7bb927,84571b69,7d394652
8a1ef165,84571b69,7d394652
463151a0,1b10f1e6,bf10c559
f8f3f010,e1105df9,
ba139156,c8005f70,
22191397,c8005f70,
79d95912,b92c4600,0d2ff45c
feaef63e,4c84bab4,64890bdb
0bd3f566,637c83bb,
cdf0a7f9,98e59a2e,c1823e02
c2b3a377,98e59a2e,c1823e02
8c38e6ef,41755dc0,19691f69
0d734700,cc8dd2f7,
92d8dbe8,cc8dd2f7,
e57fd8a1,cc8dd2f7,
abe9001f,4523e2f6,
805cdca7,4523e2f6,
8bddd41b,eb886f92,8210c7f2
fd642351,eb886f92,8210c7f2
d34dadc6,59f130d7,2cd08ce7
d7892ec9,16ecc47a,87218bda
651e2cc2,d7982d11,
4914876a,2bf7203e,
c21397c9,2e086f00,85e27be8
81171737,2e086f00,85e27be8
88295848,2e086f00,85e27be8
7f2998cb,2e086f00,85e27be8
8227ab75,2e086f00,85e27be8
6ba00227,2e086f00,85e27be8
0f5c6c30,2e086f00,85e27be8
42bff16a,2e086f00,85e27be8
e55689f1,2e086f00,85e27be8
64fdaa3d,b92dc7fb,108d5e2a
f68e0cfa,2d5b8bb7,3d713330
7b4744a2,8e1e409f,11f4a238
54eca074,8e1e409f,11f4a238
6abcb789,8e1e409f,11f4a238
b1b0c36a,b40e629e,bf738d8e
cf74dfe5,b40e629e,3577120b
06b64f22,a979b49a,
dc871bb6,987f747c,
34f4ca23,1321768b,
b7604c95,0fbfa5ac,
59f7e2ad,ffb433b1,e687e920
3cbe79e4,ffb433b1,e687e920
62614b28,ffb433b1,e687e920
e09e3bb8,ffb433b1,e687e920
c45b9e99,ffb433b1,e687e920
74414a3a,ffb433b1,e687e920
c4757bd9,2b079781,
79eca3ef,559ae7ec,
0de64283,92d56259,e1652583
8386f42a,4be726a5,186bc895
08b797c9,4be726a5,186bc895
d1f2aaba,e6fa1f95,
bffc2404,e6fa1f95,
0ad06128,02386db7,
dabdd7b2,02386db7,
f23e8efc,02386db7,
dc2140d8,b76e5841,
1faf70fe,67c94a4b,
cc86e2a6,67c94a4b,
b686cbbb,67c94a4b,
d843a59c,e2df685b,
8695392f,e2df685b,
f8ea5c66,e2df685b,
e9239db6,e2df685b,
02e2b662,e2df685b,
c083d0c6,02386db7,
0d45e77f,02386db7,
959f62a9,e2df685b,
0ef0e8e9,233691d3,
9a0f6efc,233691d3,
b34d80e9,233691d3,
f77052b5,233691d3,
80776cf1,233691d3,
37ad3c9e,233691d3,
98bf8e5e,233691d3,
4f626cd6,b5765023,
c28277f9,3efe065d,d1f7e088
1d86ba89,3efe065d,d1f7e088
f38336ab,794cd627,
5176de9e,794cd627,
327fbb6d,794cd627,
2547ecc3,794cd627,
583dedf9,794cd627,
55ff637b,794cd627,
d7216168,461010f7,d36ebea8
dfe2aeeb,fcb54429,36590ba9
6f14f86b,fcb54429,36590ba9
342125dd,d97f0ea1,ad70b3b3
3d7de993,d97f0ea1,ad70b3b3
48c04e2d,d97f0ea1,ad70b3b3
ad070635,c05420a7,
ccceb906,71a693de,
3f14114f,5398f4b9,b35335c5
b132c87a,9f588aa9,
00fd1f1c,9f588aa9,
72c276fd,9f588aa9,
413dabbe,e22b6c36,
a847940e,e22b6c36,
7f51822e,ea92b1f7,1f2099ba
1bbf3abd,ea92b1f7,1f2099ba
548dac38,b5765023,
b411d590,b5765023,
ee80fdd0,b5765023,
f9049188,b5765023,
9e9d8620,b5765023,fbce792c
78be9e50,3d227399,868c22da
47de82f8,3d227399,868c22da
24f84651,3d227399,868c22da
578da436,3d227399,868c22da
3bc7c181,3d227399,868c22da
32e50e79,3d227399,868c22da
3cb1b1f4,3d227399,868c22da
7c8762e5,3d227399,868c22da
92624ec9,3d227399,868c22da
f2e23877,3d227399,868c22da
bffb05ef,3d227399,d5087e5d
c5945bdd,3d227399,d5087e5d
7f3a53e1,3d227399,d5087e5d
b903177f,3d227399,d5087e5d
edb4f433,3f27117d,
8ab17543,3f27117d,
30479aeb,72f10968,
